bead_type,size,Frequency,Amplitude,Electrode
Polystyrene,10,20,1.23,Outin
Polystyrene,10,20,1.0825,Outin
Polystyrene,10,20,1.26,Outin
Polystyrene,10,20,1.0775,Outin
Polystyrene,10,20,1.1775,Outin
Polystyrene,10,20,1.175,Outin
Polystyrene,10,20,1.295,Outin
Polystyrene,10,20,1.05,Outin
Polystyrene,10,20,1.1625,Outin
Polystyrene,10,20,1.07,Outin
Polystyrene,10,20,1.17,Outin
Polystyrene,10,20,1.125,Outin
Polystyrene,10,20,1.095,Outin
Polystyrene,10,20,1.03,Outin
Polystyrene,10,20,1.055,Outin
Polystyrene,10,20,1.13,Outin
Polystyrene,10,20,1.125,Outin
Polystyrene,10,20,1.075,Outin
Polystyrene,10,20,1.175,Outin
Polystyrene,10,20,1.1625,Outin
Polystyrene,10,20,1.05,Outin
Polystyrene,10,20,1.133333333,Outin
Polystyrene,10,20,1.091666667,Outin
Polystyrene,10,20,1.0625,Outin
Polystyrene,10,20,1.125,Outin
Polystyrene,10,20,0.958333333,Outin
Polystyrene,10,20,1.083333333,Outin
Polystyrene,10,20,1.033333333,Outin
Polystyrene,10,20,1.1125,Outin
Polystyrene,10,20,1.083333333,Outin
Polystyrene,10,20,1.096969697,Outin
Polystyrene,10,20,1.066666667,Outin
Polystyrene,10,20,1.060606061,Outin
Polystyrene,10,20,1.003030303,Outin
Polystyrene,10,20,1.06969697,Outin
Polystyrene,10,20,1.051515152,Outin
Polystyrene,10,20,1.063636364,Outin
Polystyrene,10,20,1.036363636,Outin
Polystyrene,10,20,0.993939394,Outin
Polystyrene,10,20,1.006060606,Outin
Polystyrene,10,20,1.195488722,Outin
Polystyrene,10,20,0.962406015,Outin
Polystyrene,10,20,1.060150376,Outin
Polystyrene,10,20,1.026315789,Outin
Polystyrene,10,20,1.097744361,Outin
Polystyrene,10,20,1.090225564,Outin
Polystyrene,10,20,1.127819549,Outin
Polystyrene,10,20,1.135338346,Outin
Polystyrene,10,20,1.082706767,Outin
Polystyrene,10,20,1.131578947,Outin
Polystyrene,6,20,0.230290456,Outin
Polystyrene,6,20,0.251037344,Outin
Polystyrene,6,20,0.269709544,Outin
Polystyrene,6,20,0.230290456,Outin
Polystyrene,6,20,0.263636364,Outin
Polystyrene,6,20,0.283333333,Outin
Polystyrene,6,20,0.226153846,Outin
Polystyrene,6,20,0.228461538,Outin
Polystyrene,6,20,0.25,Outin
Polystyrene,6,20,0.266666667,Outin
Polystyrene,6,20,0.22,Outin
Polystyrene,6,20,0.3,Outin
Polystyrene,6,20,0.2875,Outin
Polystyrene,6,20,0.25,Outin
Polystyrene,6,20,0.2875,Outin
Polystyrene,6,20,0.2825,Outin
